iter	Passed	Remaining
942	26550	1604
943	26579	1576
944	26608	1548
945	26635	1520
946	26663	1492
947	26715	1465
948	26742	1437
949	26785	1409
950	26813	1381
951	26841	1353
952	26867	1325
953	26894	1296
954	26920	1268
955	26949	1240
956	26979	1212
957	27010	1184
958	27042	1156
959	27079	1128
960	27113	1100
961	27150	1072
962	27183	1044
963	27212	1016
964	27240	987
965	27269	959
966	27298	931
967	27331	903
968	27357	875
969	27385	846
970	27415	818
971	27443	790
972	27470	762
973	27498	734
974	27528	705
975	27555	677
976	27581	649
977	27609	621
978	27636	592
979	27667	564
980	27699	536
981	27729	508
982	27757	480
983	27784	451
984	27812	423
985	27841	395
986	27867	367
987	27895	338
988	27923	310
989	27949	282
990	27978	254
991	28008	225
992	28034	197
993	28062	169
994	28093	141
995	28121	112
996	28147	84
997	28175	56
998	28204	28
999	28230	0
